日期,日续费率,周续费率,月续费率
2022-01-01,0.0,0.12,0.59
2022-01-02,0.0,0.28,0.67
2022-01-03,0.0,0.18,0.47
2022-01-04,0.06,0.19,0.69
2022-01-05,0.0,0.28,0.72
2022-01-06,0.1,0.29,0.57
2022-01-07,0.05,0.15,0.55
2022-01-08,0.0,0.27,0.55
2022-01-09,0.0,0.14,0.64
2022-01-10,0.0,0.18,0.45
2022-01-11,0.0,0.3,1.0
2022-01-12,0.05,0.21,0.53
2022-01-13,0.06,0.24,0.65
2022-01-14,0.0,0.23,0.82
2022-01-15,0.0,0.32,0.63
2022-01-16,0.09,0.18,0.55
2022-01-17,0.0,0.25,0.5
2022-01-18,0.0,0.36,0.45
2022-01-19,0.0,0.0,0.56
2022-01-20,0.0,0.11,0.42
2022-01-21,0.0,0.22,0.72
2022-01-22,0.0,0.43,0.81
2022-01-23,0.0,0.33,0.56
2022-01-24,0.06,0.12,0.82
2022-01-25,0.04,0.21,0.67
2022-01-26,0.0,0.13,0.6
2022-01-27,0.08,0.25,0.67
2022-01-28,0.13,0.2,0.6
2022-01-29,0.0,0.06,0.59
2022-01-30,0.07,0.29,0.79
2022-01-31,0.0,0.2,0.5
2022-02-01,0.0,0.23,0.73
2022-02-02,0.11,0.33,0.89
2022-02-03,0.07,0.13,0.47
2022-02-04,0.0,0.29,0.76
2022-02-05,0.0,0.36,0.86
2022-02-06,0.06,0.29,0.88
2022-02-07,0.07,0.13,0.6
2022-02-08,0.05,0.14,0.41
2022-02-09,0.0,0.06,0.65
2022-02-10,0.05,0.15,0.7
2022-02-11,0.08,0.46,0.77
2022-02-12,0.0,0.24,0.65
2022-02-13,0.0,0.31,0.75
2022-02-14,0.0,0.17,0.58
2022-02-15,0.0,0.16,0.79
2022-02-16,0.08,0.15,0.62
2022-02-17,0.0,0.07,0.43
2022-02-18,0.0,0.06,0.67
2022-02-19,0.0,0.33,0.8
2022-02-20,0.0,0.0,0.57
2022-02-21,0.05,0.24,0.67
2022-02-22,0.0,0.21,0.68
2022-02-23,0.09,0.27,0.91
2022-02-24,0.04,0.15,0.62
2022-02-25,0.0,0.15,0.4
2022-02-26,0.0,0.14,0.71
2022-02-27,0.09,0.18,0.73
2022-02-28,0.0,0.17,0.72
2022-03-01,0.04,0.13,0.7
2022-03-02,0.0,0.24,0.59
2022-03-03,0.04,0.22,0.52
2022-03-04,0.05,0.32,0.63
2022-03-05,0.0,0.24,0.71
2022-03-06,0.0,0.14,0.45
2022-03-07,0.06,0.17,0.56
2022-03-08,0.05,0.21,0.53
2022-03-09,0.11,0.44,0.72
2022-03-10,0.0,0.11,0.74
2022-03-11,0.0,0.09,0.5
2022-03-12,0.18,0.27,0.73
2022-03-13,0.07,0.14,0.64
2022-03-14,0.0,0.23,0.69
2022-03-15,0.0,0.06,0.56
2022-03-16,0.0,0.0,0.58
2022-03-17,0.06,0.44,0.67
2022-03-18,0.0,0.18,0.45
2022-03-19,0.0,0.08,0.42
2022-03-20,0.06,0.31,0.69
2022-03-21,0.0,0.14,0.81
2022-03-22,0.0,0.25,0.45
2022-03-23,0.06,0.5,0.69
2022-03-24,0.0,0.14,0.68
2022-03-25,0.0,0.27,0.73
2022-03-26,0.14,0.29,0.57
2022-03-27,0.0,0.22,0.67
2022-03-28,0.06,0.39,0.61
2022-03-29,0.0,0.22,0.78
2022-03-30,0.0,0.08,0.67
2022-03-31,0.08,0.23,0.54
2022-04-01,0.13,0.2,0.87
2022-04-02,0.0,0.13,0.6
2022-04-03,0.0,0.08,0.58
2022-04-04,0.04,0.3,0.7
2022-04-05,0.0,0.08,0.23
2022-04-06,0.06,0.18,0.71
2022-04-07,0.07,0.14,0.43
2022-04-08,0.0,0.06,0.44
2022-04-09,0.0,0.06,0.53
2022-04-10,0.0,0.17,0.5
2022-04-11,0.0,0.27,0.73
2022-04-12,0.0,0.0,0.14
2022-04-13,0.0,0.1,0.6
2022-04-14,0.0,0.18,0.59
2022-04-15,0.0,0.0,0.5
2022-04-16,0.0,0.18,0.68
2022-04-17,0.0,0.0,0.5
2022-04-18,0.0,0.21,0.71
2022-04-19,0.0,0.13,0.67
2022-04-20,0.05,0.35,0.65
2022-04-21,0.0,0.12,0.41
2022-04-22,0.06,0.24,0.71
2022-04-23,0.0,0.21,0.5
2022-04-24,0.07,0.29,0.79
2022-04-25,0.05,0.32,0.63
2022-04-26,0.0,0.16,0.58
2022-04-27,0.0,0.33,0.93
2022-04-28,0.07,0.36,0.71
2022-04-29,0.15,0.38,0.85
2022-04-30,0.04,0.29,0.58
2022-05-01,0.0,0.14,0.86
2022-05-02,0.0,0.12,0.62
2022-05-03,0.07,0.21,0.36
2022-05-04,0.06,0.25,0.56
2022-05-05,0.0,0.44,0.81
2022-05-06,0.0,0.14,0.57
2022-05-07,0.0,0.15,0.46
2022-05-08,0.09,0.32,0.68
2022-05-09,0.0,0.15,0.38
2022-05-10,0.05,0.26,0.79
2022-05-11,0.0,0.23,0.64
2022-05-12,0.09,0.18,0.45
2022-05-13,0.0,0.33,0.75
2022-05-14,0.04,0.17,0.61
2022-05-15,0.04,0.26,0.65
2022-05-16,0.06,0.24,0.71
2022-05-17,0.0,0.23,0.64
2022-05-18,0.0,0.08,0.54
2022-05-19,0.04,0.28,0.52
2022-05-20,0.1,0.1,0.8
2022-05-21,0.12,0.38,0.75
2022-05-22,0.0,0.26,0.67
2022-05-23,0.06,0.11,0.61
2022-05-24,0.0,0.18,0.64
2022-05-25,0.0,0.2,0.73
2022-05-26,0.1,0.6,0.9
2022-05-27,0.0,0.07,0.5
2022-05-28,0.0,0.2,0.65
2022-05-29,0.0,0.24,0.41
2022-05-30,0.08,0.31,0.62
2022-05-31,0.04,0.15,0.54
2022-06-01,0.06,0.19,0.31
2022-06-02,0.0,0.0,0.59
2022-06-03,0.22,0.44,0.56
2022-06-04,0.07,0.24,0.62
2022-06-05,0.05,0.32,0.59
2022-06-06,0.07,0.27,0.33
2022-06-07,0.12,0.31,0.44
2022-06-08,0.0,0.0,0.5
2022-06-09,0.0,0.2,0.4
2022-06-10,0.0,0.04,0.25
2022-06-11,0.0,0.11,0.33
2022-06-12,0.0,0.24,0.29
2022-06-13,0.0,0.12,0.12
2022-06-14,0.0,0.2,0.35
2022-06-15,0.0,0.23,0.31
2022-06-16,0.0,0.24,0.24
2022-06-17,0.0,0.41,0.59
2022-06-18,0.0,0.27,0.33
2022-06-19,0.07,0.14,0.14
2022-06-20,0.06,0.17,0.17
2022-06-21,0.06,0.06,0.06
2022-06-22,0.0,0.07,0.07
2022-06-23,0.0,0.13,0.13
2022-06-24,0.0,0.05,0.05
2022-06-25,0.0,0.0,0.0
2022-06-26,0.0,0.0,0.0
